Id,Instant
1,2007-05-28 19:08:40.114
2,2007-05-29 11:38:44.224
3,2007-05-29 09:17:42.536
4,2007-05-29 18:42:17.652
5,2007-05-29 18:16:40.109
6,2007-05-29 22:29:02.230
7,2007-05-28 03:31:55.771
8,2007-05-28 09:32:05.180
9,2007-05-29 12:34:36.216
10,2007-05-29 21:28:07.783
11,2007-05-29 12:16:00.783
12,2007-05-29 17:47:55.689
13,2007-05-28 08:04:12.630
14,2007-05-29 15:13:41.932
15,2007-05-28 08:50:29.996
16,2007-05-29 09:10:03.334
17,2007-05-28 07:55:03.945
18,2007-05-29 11:55:18.687
19,2007-05-29 13:00:07.402
20,2007-05-29 02:08:51.093
21,2007-05-28 08:31:18.115
22,2007-05-29 04:46:53.027
23,2007-05-28 09:22:30.484
24,2007-05-28 23:54:43.403
25,2007-05-28 23:52:32.934
26,2007-05-28 15:13:07.434
27,2007-05-28 11:03:53.936
28,2007-05-28 11:50:33.795
29,2007-05-29 01:54:14.951
30,2007-05-28 20:03:22.619
31,2007-05-29 05:10:46.306
32,2007-05-29 13:16:35.417
33,2007-05-28 16:22:03.425
34,2007-05-29 01:57:30.585
35,2007-05-29 23:06:17.862
36,2007-05-29 06:51:24.207
37,2007-05-28 14:57:38.166
38,2007-05-29 16:05:56.098
39,2007-05-29 07:35:39.173
40,2007-05-28 02:25:38.250
41,2007-05-28 05:30:14.853
42,2007-05-28 01:11:09.364
43,2007-05-28 14:21:16.270
44,2007-05-28 02:50:18.109
45,2007-05-28 04:11:13.905
46,2007-05-28 00:38:56.542
47,2007-05-28 19:18:31.819
48,2007-05-29 07:37:33.137
49,2007-05-29 19:05:18.626
50,2007-05-29 02:21:16.802
51,2007-05-28 19:46:58.180
52,2007-05-28 02:19:33.667
53,2007-05-29 04:10:45.206
54,2007-05-29 21:53:26.215
55,2007-05-29 21:22:47.196
56,2007-05-28 21:31:11.005
57,2007-05-28 05:32:18.752
58,2007-05-28 06:08:22.179
59,2007-05-28 17:18:37.663
60,2007-05-29 01:04:41.045
61,2007-05-28 04:34:48.918
62,2007-05-29 08:58:48.206
63,2007-05-29 14:43:29.848
64,2007-05-29 15:03:19.099
65,2007-05-29 05:17:11.417
66,2007-05-28 13:05:05.439
67,2007-05-29 01:41:10.401
68,2007-05-29 09:08:10.119
69,2007-05-29 05:11:27.887
70,2007-05-28 12:52:19.895
71,2007-05-28 12:11:10.760
72,2007-05-29 14:24:31.414
73,2007-05-28 09:20:07.516
74,2007-05-29 16:55:03.264
75,2007-05-28 00:19:03.985
76,2007-05-29 16:18:23.426
77,2007-05-28 13:26:12.156
78,2007-05-28 09:56:18.502
79,2007-05-29 00:59:02.041
80,2007-05-29 05:10:35.273
81,2007-05-29 02:58:38.266
82,2007-05-28 19:39:59.581
83,2007-05-28 06:35:47.113
84,2007-05-29 18:35:16.929
85,2007-05-29 23:31:29.857
86,2007-05-29 05:34:53.573
87,2007-05-29 03:23:24.923
88,2007-05-28 18:31:09.273
89,2007-05-28 05:07:08.602
90,2007-05-28 20:04:12.526
91,2007-05-29 15:51:35.942
92,2007-05-29 10:06:17.780
93,2007-05-29 00:35:15.803
94,2007-05-29 09:48:01.005
95,2007-05-28 11:57:59.770
96,2007-05-29 02:46:03.625
97,2007-05-29 06:28:26.052
98,2007-05-29 04:10:18.089
99,2007-05-28 18:12:02.151
100,2007-05-29 08:56:24.021
