Id,Begin,End
1,2007-05-28 04:08:41.330,2007-05-28 15:00:46.322
2,2007-05-28 07:39:14.538,2007-05-29 05:07:26.278
3,2007-05-29 05:39:24.335,2007-05-29 11:26:44.682
4,2007-05-29 22:38:56.063,2007-05-30 11:58:33.937
5,2007-05-29 10:16:05.883,2007-05-30 11:17:43.421
6,2007-05-29 09:03:54.948,2007-05-29 22:46:01.660
7,2007-05-28 09:08:54.661,2007-05-30 21:40:21.005
8,2007-05-28 14:58:34.880,2007-05-28 22:45:37.503
9,2007-05-28 05:29:58.450,2007-05-29 05:47:04.097
10,2007-05-29 16:21:11.303,2007-05-29 17:47:11.630
11,2007-05-28 15:47:29.862,2007-05-29 00:08:50.352
12,2007-05-29 14:13:05.069,2007-05-30 20:25:16.875
13,2007-05-29 06:01:54.298,2007-05-31 12:41:18.330
14,2007-05-28 21:46:11.436,2007-05-29 09:56:27.759
15,2007-05-28 18:12:46.788,2007-05-28 21:37:43.305
16,2007-05-28 12:08:35.955,2007-05-29 05:01:55.603
17,2007-05-28 20:31:03.928,2007-05-29 22:50:30.535
18,2007-05-29 07:54:54.786,2007-05-30 05:32:09.301
19,2007-05-29 15:56:59.619,2007-05-31 18:58:55.613
20,2007-05-29 21:11:44.803,2007-05-30 08:38:54.168
21,2007-05-28 09:24:15.871,2007-05-28 12:25:12.189
22,2007-05-28 07:04:42.146,2007-05-28 21:20:28.319
23,2007-05-28 04:42:41.944,2007-05-29 12:56:52.288
24,2007-05-28 00:41:21.281,2007-05-28 14:30:02.323
25,2007-05-28 22:48:19.289,2007-05-29 09:44:16.893
26,2007-05-29 10:56:36.135,2007-05-31 11:29:48.321
27,2007-05-29 16:46:39.144,2007-05-30 18:11:19.400
28,2007-05-28 18:02:04.961,2007-05-29 10:13:15.154
29,2007-05-29 06:46:52.528,2007-05-30 10:59:23.139
30,2007-05-28 16:01:15.260,2007-05-29 21:05:34.148
31,2007-05-28 08:43:46.272,2007-05-28 18:13:26.056
32,2007-05-29 23:04:09.202,2007-05-30 02:21:58.617
33,2007-05-29 11:19:41.168,2007-05-31 02:04:39.299
34,2007-05-29 11:10:37.687,2007-05-30 17:59:19.962
35,2007-05-29 01:27:45.817,2007-05-30 15:48:00.367
36,2007-05-29 07:05:44.426,2007-05-30 14:29:25.170
37,2007-05-29 21:19:12.809,2007-05-30 17:31:38.888
38,2007-05-28 01:33:32.392,2007-05-29 00:19:29.258
39,2007-05-29 00:36:38.812,2007-05-29 05:08:10.843
40,2007-05-28 23:34:29.146,2007-05-29 11:10:47.619
41,2007-05-28 02:02:02.210,2007-05-29 03:10:53.025
42,2007-05-29 14:16:04.724,2007-05-30 18:46:47.656
43,2007-05-28 19:04:57.811,2007-05-29 19:47:05.157
44,2007-05-28 07:49:00.628,2007-05-29 07:10:44.883
