Id,SegNo,Xstart,Ystart,Xend,Yend
1,1,13.2989,52.5095,13.2989,52.5098
1,2,13.2989,52.5098,13.2989,52.5101
1,3,13.2989,52.5101,13.2989,52.5104
1,4,13.2989,52.5104,13.299,52.5107
1,5,13.299,52.5107,13.2992,52.5111
1,6,13.2992,52.5111,13.2993,52.5114
1,7,13.2993,52.5114,13.2995,52.5117
1,8,13.2995,52.5117,13.2998,52.512
1,9,13.2998,52.512,13.3001,52.5122
1,10,13.3001,52.5122,13.3004,52.5125
1,11,13.3004,52.5125,13.3007,52.5127
1,12,13.3007,52.5127,13.3011,52.513
1,13,13.3011,52.513,13.3015,52.5132
1,14,13.3015,52.5132,13.302,52.5134
1,15,13.302,52.5134,13.3024,52.5135
1,16,13.3024,52.5135,13.3029,52.5137
1,17,13.3029,52.5137,13.3034,52.5138
1,18,13.3034,52.5138,13.3039,52.5139
1,19,13.3039,52.5139,13.3044,52.514
1,20,13.3044,52.514,13.3049,52.514
1,21,13.3049,52.514,13.3055,52.5141
1,22,13.3055,52.5141,13.306,52.5141
1,23,13.306,52.5141,13.3065,52.514
1,24,13.3065,52.514,13.3071,52.514
1,25,13.3071,52.514,13.3076,52.5139
1,26,13.3076,52.5139,13.3081,52.5138
1,27,13.3081,52.5138,13.3086,52.5137
1,28,13.3086,52.5137,13.309,52.5136
1,29,13.309,52.5136,13.3095,52.5134
1,30,13.3095,52.5134,13.3099,52.5132
1,31,13.3099,52.5132,13.3103,52.513
1,32,13.3103,52.513,13.3107,52.5128
1,33,13.3107,52.5128,13.3111,52.5125
1,34,13.3111,52.5125,13.3114,52.5123
1,35,13.3114,52.5123,13.3117,52.512
1,36,13.3117,52.512,13.3119,52.5117
1,37,13.3119,52.5117,13.3121,52.5114
1,38,13.3121,52.5114,13.3123,52.5111
1,39,13.3123,52.5111,13.3124,52.5108
1,40,13.3124,52.5108,13.3125,52.5105
1,41,13.3125,52.5105,13.3126,52.5101
1,42,13.3126,52.5101,13.3126,52.5098
1,43,13.3126,52.5098,13.3126,52.5095
1,44,13.3126,52.5095,13.3125,52.5092
1,45,13.3125,52.5092,13.3124,52.5089
1,46,13.3124,52.5089,13.3122,52.5086
1,47,13.3122,52.5086,13.3121,52.5083
1,48,13.3121,52.5083,13.3118,52.508
1,49,13.3118,52.508,13.3116,52.5077
1,50,13.3116,52.5077,13.3113,52.5074
1,51,13.3113,52.5074,13.3109,52.5072
1,52,13.3109,52.5072,13.3106,52.5069
1,53,13.3106,52.5069,13.3102,52.5067
1,54,13.3102,52.5067,13.3098,52.5065
1,55,13.3098,52.5065,13.3093,52.5063
1,56,13.3093,52.5063,13.3089,52.5062
1,57,13.3089,52.5062,13.3084,52.506
1,58,13.3084,52.506,13.3079,52.5059
1,59,13.3079,52.5059,13.3074,52.5058
1,60,13.3074,52.5058,13.3068,52.5058
1,61,13.3068,52.5058,13.3063,52.5057
1,62,13.3063,52.5057,13.3058,52.5057
1,63,13.3058,52.5057,13.3052,52.5057
1,64,13.3052,52.5057,13.3047,52.5057
1,65,13.3047,52.5057,13.3042,52.5058
1,66,13.3042,52.5058,13.3037,52.5059
1,67,13.3037,52.5059,13.3032,52.506
1,68,13.3032,52.506,13.3027,52.5061
1,69,13.3027,52.5061,13.3022,52.5063
1,70,13.3022,52.5063,13.3018,52.5065
1,71,13.3018,52.5065,13.3014,52.5067
1,72,13.3014,52.5067,13.301,52.5069
1,73,13.301,52.5069,13.3006,52.5071
1,74,13.3006,52.5071,13.3003,52.5074
1,75,13.3003,52.5074,13.3,52.5076
1,76,13.3,52.5076,13.2997,52.5079
1,77,13.2997,52.5079,13.2995,52.5082
1,78,13.2995,52.5082,13.2993,52.5085
1,79,13.2993,52.5085,13.2991,52.5088
1,80,13.2991,52.5088,13.299,52.5091
1,81,13.299,52.5091,13.2989,52.5095
2,1,13.3953,52.4937,13.4027,52.4981
2,2,13.4027,52.4981,13.4099,52.4935
2,3,13.4099,52.4935,13.4025,52.4891
2,4,13.4025,52.4891,13.3953,52.4937
3,1,13.285,52.6256,13.2851,52.6268
3,2,13.2851,52.6268,13.2856,52.6279
3,3,13.2856,52.6279,13.2863,52.6289
3,4,13.2863,52.6289,13.2872,52.6299
3,5,13.2872,52.6299,13.2884,52.6307
3,6,13.2884,52.6307,13.2898,52.6315
3,7,13.2898,52.6315,13.2913,52.6321
3,8,13.2913,52.6321,13.293,52.6326
3,9,13.293,52.6326,13.2948,52.6329
3,10,13.2948,52.6329,13.2966,52.6331
3,11,13.2966,52.6331,13.2984,52.633
3,12,13.2984,52.633,13.3003,52.6329
3,13,13.3003,52.6329,13.302,52.6325
3,14,13.302,52.6325,13.3037,52.632
3,15,13.3037,52.632,13.3052,52.6314
3,16,13.3052,52.6314,13.3065,52.6306
3,17,13.3065,52.6306,13.3076,52.6297
3,18,13.3076,52.6297,13.3085,52.6287
3,19,13.3085,52.6287,13.3092,52.6276
3,20,13.3092,52.6276,13.3095,52.6265
3,21,13.3095,52.6265,13.3096,52.6254
3,22,13.3096,52.6254,13.3095,52.6244
3,23,13.3095,52.6244,13.309,52.6233
3,24,13.309,52.6233,13.3083,52.6222
3,25,13.3083,52.6222,13.3074,52.6212
3,26,13.3074,52.6212,13.3062,52.6204
3,27,13.3062,52.6204,13.3049,52.6196
3,28,13.3049,52.6196,13.3033,52.619
3,29,13.3033,52.619,13.3017,52.6185
3,30,13.3017,52.6185,13.2999,52.6182
3,31,13.2999,52.6182,13.2981,52.618
3,32,13.2981,52.618,13.2962,52.618
3,33,13.2962,52.618,13.2944,52.6182
3,34,13.2944,52.6182,13.2926,52.6186
3,35,13.2926,52.6186,13.291,52.6191
3,36,13.291,52.6191,13.2895,52.6197
3,37,13.2895,52.6197,13.2881,52.6205
3,38,13.2881,52.6205,13.287,52.6214
3,39,13.287,52.6214,13.2861,52.6224
3,40,13.2861,52.6224,13.2855,52.6234
3,41,13.2855,52.6234,13.2851,52.6245
3,42,13.2851,52.6245,13.285,52.6256
4,1,13.5265,52.5532,13.5266,52.5561
4,2,13.5266,52.5561,13.5283,52.5587
4,3,13.5283,52.5587,13.5316,52.5608
4,4,13.5316,52.5608,13.5358,52.5621
4,5,13.5358,52.5621,13.5405,52.5623
4,6,13.5405,52.5623,13.545,52.5615
4,7,13.545,52.5615,13.5487,52.5597
4,8,13.5487,52.5597,13.5511,52.5572
4,9,13.5511,52.5572,13.5519,52.5544
4,10,13.5519,52.5544,13.551,52.5516
4,11,13.551,52.5516,13.5484,52.5492
